order_id,customer_id,product,quantity,unit_price,date
ORD-001,C001,Laptop Pro,2,1200.00,2024-03-01
ORD-002,C002,Wireless Mouse,15,25.00,2024-03-01
ORD-003,C003,USB-C Hub,5,45.00,2024-03-02
ORD-004,C001,Monitor 27in,1,450.00,2024-03-02
ORD-005,C004,Keyboard Mech,8,85.00,2024-03-03
ORD-006,C005,Webcam HD,3,65.00,2024-03-03
ORD-007,C999,Desk Lamp,4,35.00,2024-03-04
ORD-008,C006,Standing Desk,1,550.00,2024-03-04
ORD-009,C002,Headset Pro,12,120.00,2024-03-05
ORD-010,C007,Tablet 10in,6,350.00,2024-03-05
ORD-011,C003,Charger Fast,55,18.00,2024-03-06
ORD-012,C008,Printer Laser,2,280.00,2024-03-06
ORD-013,C004,Cable Pack,0,12.00,2024-03-07
ORD-014,C001,Docking Station,3,175.00,2024-03-07
ORD-015,C006,Mouse Pad XL,20,15.00,2024-03-08
