company,region,quarter,revenue,employees,satisfaction_score
AlphaTech,North,Q1,998.88,474,3.5
AlphaTech,South,Q1,1195.44,486,3.5
AlphaTech,East,Q1,1144.91,486,4.9
AlphaTech,West,Q1,1090.59,486,4.0
AlphaTech,North,Q2,1034.97,480,3.8
AlphaTech,South,Q2,1009.08,469,4.7
AlphaTech,East,Q2,909.34,477,3.1
AlphaTech,West,Q2,1168.39,474,3.7
AlphaTech,North,Q3,1117.88,483,4.6
AlphaTech,South,Q3,1368.57,489,3.4
AlphaTech,East,Q3,1302.12,483,4.9
AlphaTech,West,Q3,1065.19,469,4.8
AlphaTech,North,Q4,1492.47,487,3.2
AlphaTech,South,Q4,1317.7,483,4.9
AlphaTech,East,Q4,1371.36,482,4.8
AlphaTech,West,Q4,1489.13,480,3.2
BetaCorp,North,Q1,1496.44,449,5.0
BetaCorp,South,Q1,1623.11,454,4.5
BetaCorp,East,Q1,1685.64,451,4.7
BetaCorp,West,Q1,1739.39,453,4.9
BetaCorp,North,Q2,1782.59,455,3.2
BetaCorp,South,Q2,1848.53,447,4.9
BetaCorp,East,Q2,1857.2,438,3.7
BetaCorp,West,Q2,1736.4,456,4.7
BetaCorp,North,Q3,1788.47,446,3.4
BetaCorp,South,Q3,1916.54,456,4.0
BetaCorp,East,Q3,1949.34,455,3.1
BetaCorp,West,Q3,1810.96,455,4.3
BetaCorp,North,Q4,1902.34,444,4.1
BetaCorp,South,Q4,2079.65,447,3.5
BetaCorp,East,Q4,2036.75,455,4.3
BetaCorp,West,Q4,1893.92,443,3.2
GammaSoft,North,Q1,1633.48,489,4.3
GammaSoft,South,Q1,1312.72,502,4.5
GammaSoft,East,Q1,1472.95,505,4.5
GammaSoft,West,Q1,1629.18,507,4.4
GammaSoft,North,Q2,1617.39,503,4.0
GammaSoft,South,Q2,1356.72,497,3.3
GammaSoft,East,Q2,1624.53,501,3.8
GammaSoft,West,Q2,1692.87,501,3.6
GammaSoft,North,Q3,1610.61,509,4.9
GammaSoft,South,Q3,1581.84,503,3.8
GammaSoft,East,Q3,1747.05,499,4.0
GammaSoft,West,Q3,1499.83,493,3.8
GammaSoft,North,Q4,1928.97,502,3.5
GammaSoft,South,Q4,1706.37,506,3.7
GammaSoft,East,Q4,1569.57,497,3.1
